商品コード,商品名,カテゴリ名,販売価格,更新日,在庫数,在庫インポートフラグ,在庫扱いの種別
000001,ぶりカマ,切身,390,2022/09/28 13:52:11,0,インポート可,在庫がないと注文できない
000002,銀だら尾の西京漬,漬魚,160,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000003,紅鮭甘塩カマしっぽ,切身,290,2018/12/15 02:20:11,999999744,インポート可,在庫数によらず注文を受ける
000201,ギアナ海老　小型,えび,620,2018/12/15 02:20:11,999999997,インポート可,在庫数によらず注文を受ける
000202,（生）むきえび,えび,529,2018/12/15 02:20:11,999999980,インポート可,在庫数によらず注文を受ける
000203,真あじ刺,刺身,368,2018/12/15 02:20:11,11,インポート可,在庫がないと注文できない
000204,鯛 刺,刺身,441,2018/12/15 02:20:11,999999995,インポート可,在庫数によらず注文を受ける
000205,まぐろたたき,まぐろ,447,2018/12/15 02:20:11,999999983,インポート可,在庫数によらず注文を受ける
000206,イクラしょうゆ漬,魚卵,735,2018/12/15 02:20:11,999999993,インポート可,在庫数によらず注文を受ける
000207,殻付しじみ,貝類,599,2018/12/15 02:20:11,999999990,インポート可,在庫数によらず注文を受ける
000208,生かき（生食用）,貝類,357,2018/12/15 02:20:11,999999997,インポート可,在庫数によらず注文を受ける
000209,紅鮭甘塩（２切）,切身,378,2018/12/15 02:20:11,999999988,インポート可,在庫数によらず注文を受ける
000210,金目鯛（２切）【180g】,切身,483,2018/12/15 02:20:11,999999985,インポート可,在庫数によらず注文を受ける
000211,子持ち 浅羽カレイ,切身,326,2018/12/15 02:20:11,999999988,インポート可,在庫数によらず注文を受ける
000212,メカジキハラス西京漬,漬魚,305,2018/12/15 02:20:11,999999985,インポート可,在庫数によらず注文を受ける
000213,銀かれい醤油漬,漬魚,273,2018/12/15 02:20:11,999999996,インポート可,在庫数によらず注文を受ける
000214,ちりめん,干物,482,2019/01/25 02:20:00,999999991,インポート可,在庫数によらず注文を受ける
000223,メローみそ漬,漬魚,453,2018/12/15 02:20:11,999999999,インポート可,在庫数によらず注文を受ける
000224,メバチまぐろ切落し,まぐろ,567,2018/12/15 02:20:11,999999346,インポート可,在庫数によらず注文を受ける
000225,（生）むきえび,えび,592,2018/12/15 02:20:11,999997953,インポート可,在庫数によらず注文を受ける
000226,本ししゃも干,干物,585,2018/12/15 02:20:11,999997593,インポート可,在庫数によらず注文を受ける
000227,殻付しじみ,貝類,599,2018/12/15 02:20:11,999995981,インポート可,在庫数によらず注文を受ける
000228,ハーヤンシューマイ,中華惣菜,444,2018/12/15 02:20:11,999995738,インポート可,在庫数によらず注文を受ける
000302,あじなめろう,水産加工品,336,2018/12/15 02:20:11,999999996,インポート可,在庫数によらず注文を受ける
000308,帆立の醤油漬,漬魚,473,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000309,あゆ甘露煮,水産加工品[低温解凍],399,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000310,【ﾌﾟﾚｾﾞﾝﾄ】紅鮭割烹巻,水産加工品[低温解凍],0,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000311,海老とトマトのテリーヌ,水産加工品[低温解凍],567,2018/12/15 02:20:11,999999984,インポート可,在庫数によらず注文を受ける
000312,【ﾌﾟﾚｾﾞﾝﾄ】海鮮酒蒸し（帆立・わかめ,水産加工品[低温解凍],0,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000313,【ﾌﾟﾚｾﾞﾝﾄ】真鯛カブト煮,水産加工品[低温解凍],0,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000314,霜降り馬刺,馬肉,777,2018/12/15 02:20:11,999999999,インポート可,在庫数によらず注文を受ける
000315,みつせ鶏　塩鍋しゃぶしゃぶ,みつせ鶏,966,2018/12/15 02:20:11,999999998,インポート可,在庫数によらず注文を受ける
000316,【おまけ】洋葱水煎饅頭,本格中華点心,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000317,蝦仁雲呑（エビワンタン）,本格中華点心,462,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000318,【ﾌﾟﾚｾﾞﾝﾄ】蓮蓉芝麻球（蓮の実あん揚,本格中華点心,0,2018/12/15 02:20:11,14,インポート可,在庫がないと注文できない
000319,えび海鮮餃子,中華惣菜,336,2018/12/15 02:20:11,999999996,インポート可,在庫数によらず注文を受ける
000320,若鶏の甘酢ソース,中華惣菜,368,2018/12/15 02:20:11,999999988,インポート可,在庫数によらず注文を受ける
000322,豆腐ハンバーグ,和惣菜,273,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000323,アスパラの胡麻マヨ和え,和惣菜,399,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000324,【義援金付】かぼちゃのそぼろ煮,和惣菜,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000326,牛肉八幡巻,和惣菜,945,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000327,豆乳トーナッツ,軽食,357,2018/12/15 02:20:11,999999992,インポート可,在庫数によらず注文を受ける
000328,ナン（カレーソース）,軽食,494,2018/12/15 02:20:11,999999995,インポート可,在庫数によらず注文を受ける
000329,【ﾌﾟﾚｾﾞﾝﾄ】焼き餅,軽食,0,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000333,かにめし,麺・丼物,315,2018/12/15 02:20:11,999999994,インポート可,在庫数によらず注文を受ける
000334,彩りいなり寿司,麺・丼物,546,2018/12/15 02:20:11,999999995,インポート可,在庫数によらず注文を受ける
000335,きのことほうれん草の和風スパゲティ,パスタ【まとめ割】,441,2018/12/15 02:20:11,999999997,インポート可,在庫数によらず注文を受ける
000337,グリーンアスパラ,野菜,548,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
